##SYN
	29	0	0	
00001740	3	0	0	that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
00001930	3	0	0	an entity that has physical existence
00002137	3	0	0	a general concept formed by extracting common features from specific examples
00002452	3	0	0	a separate and self-contained entity
00002684	3	0	0	a tangible and visible entity; an entity that can cast a shadow; 'it was full of rackets, balls and other objects'
00003553	3	0	0	an assemblage of parts that is regarded as a single entity; 'how big is that part compared to the whole?'; 'the team is a unit'
00003993	3	0	0	a whole (a thing or person) of the same kind or category as another; 'lard was also used, though its congener, butter, was more frequently employed'; 'the American shopkeeper differs from his European congener'
00004258	3	0	0	a living (or once living) entity
00004475	3	0	0	a living thing that has (or can develop) the ability to act or function independently
00005787	3	0	0	organisms (plants and animals) that live at or near the bottom of a sea
00005930	3	0	0	a plant or animal that is atypically small
00006024	3	0	0	an organism that depends on complex organic substances for nutrition
00006150	3	0	0	an organism (plant or animal) from which younger ones are obtained
00006269	3	0	0	living things collectively; 'the oceans are teeming with life'
00006400	3	0	0	a discrete unit of living matter
00006484	3	0	0	(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals
00007347	3	0	0	any entity that produces an effect or is responsible for events or results
00007846	3	1	0	a human being; 'there was too much for one person to do'
00015388	3	1	0	a living organism characterized by voluntary movement
00017222	3	0	0	(botany) a living organism lacking the power of locomotion
00019046	3	0	0	indigenous plants and animals
00019128	3	0	0	an object occurring naturally; not made by man
00019613	3	0	0	the real physical matter of which a person or thing consists; 'DNA is the substance of our genes'
00020090	3	0	0	a particular kind or species of matter with uniform properties; 'shigella is one of the most toxic substances known to man'
00020827	3	0	0	that which has mass and occupies space; 'physicists study both the nature of matter and the forces which govern it'
00021265	3	0	0	any substance that can be metabolized by an animal to give energy and build tissue
00021734	3	0	0	any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
00021939	3	0	0	a man-made object taken as a whole
00022903	3	0	0	one of a class of artifacts; 'an article of clothing'
00023100	3	0	0	a feature of the mental life of a living organism
00023271	3	0	0	the psychological result of perception and learning and reasoning
00023773	3	0	0	the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior; 'we did not understand his motivation'; 'he acted with the best of motives'
00024264	3	0	0	an abstraction belonging to or characteristic of an entity
00024720	3	0	0	the way something is with respect to its main attributes; 'the current state of knowledge'; 'his state of health'; 'in a weak financial state'
00026192	3	0	0	the experiencing of affective and emotional states; 'she had a feeling of euphoria'; 'he had terrible feelings of guilt'; 'I disliked him and the feeling was mutual'
00027167	3	0	0	a point or extent in space
00027807	3	0	0	the spatial arrangement of something as distinct from its substance; 'geometry is the mathematical science of shape'
00028270	3	0	0	the continuum of experience in which events pass from the future through the present to the past
00028651	3	0	0	the unlimited expanse in which everything is located; 'they tested his ability to locate objects in space'; 'the boundless regions of the infinite'
00029007	3	0	0	physical space independent of what occupies it
00029114	3	0	0	(physics) an ideal space in which the coordinate dimensions represent the variables that are required to describe a system or substance; 'a multidimensional phase space'
00029378	3	0	0	something that happens at a given place and time
00029677	3	0	0	a sustained phenomenon or one marked by gradual changes through a series of states; 'events now in process'; 'the process of calcification begins later for boys than for girls'
00030358	3	0	0	something that people do or cause to happen
00031264	3	0	0	any number of entities (members) considered as a unit
00031921	3	0	0	an abstraction belonging to or characteristic of two entities or parts together
00032613	3	0	0	anything owned or possessed
00032823	3	0	0	a relation between living organisms (especially between people)
00033020	3	0	0	something that is communicated by or to or between people or groups
00033615	3	0	0	how much there is or how many there are of something that you can quantify
00034213	3	0	0	any state or process known through the senses rather than by intuition or reasoning
00034479	4	0	0	an action; 'how could you do such a thing?'
00034574	4	0	0	a kind act
00034777	4	0	0	cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach
00034939	4	0	0	the act of terminating a project or procedure before it is completed; 'I wasted a year of my life working on an abort'; 'he sent a short message requesting an abort due to extreme winds in the area'
00035189	4	0	0	the action of accomplishing something
00035697	4	0	0	a festivity in ancient Greece at which competitors contended for prizes
00035891	4	0	0	the action of alienating; the action of causing to become unfriendly; 'his behavior alienated the other students'
00036061	4	0	0	the action of putting something into operation; 'the application of maximum thrust'; 'massage has far-reaching medical applications'; 'the application of indexes to tables of data'
00036299	4	0	0	an initial accomplishment that opens the way for further developments; 'the town became a beachhead in the campaign to ban smoking outdoors'; 'they are presently attempting to gain a foothold in the Russian market'
00036580	4	0	0	an easy accomplishment; 'winning the tournament was a cakewalk for him'; 'invading Iraq won't be a cakewalk'
00036762	4	0	0	a notable achievement; 'he performed a great feat'; 'the book was her finest effort'
00037006	4	0	0	an outstanding achievement
00037090	4	0	0	an achievement demonstrating great skill or mastery
00037200	4	0	0	used in the phrase `to your credit' in order to indicate an achievement deserving praise; 'she already had several performances to her credit';
00037396	4	0	0	something done (usually as opposed to something said); 'there were stories of murders and other unnatural actions'
00038175	4	0	0	things done
00038262	4	0	0	a mode of action; 'if you persist in that course you will surely fail'; 'once a nation is embarked on a course of action it becomes extremely difficult for any retraction to take place'
00038573	4	0	0	(figurative) a course of action that is unproductive and offers no hope of improvement; 'all the clues led the police into blind alleys'; 'so far every road that we've been down has turned out to be a blind alley'
00038863	4	0	0	a course of action (following a given idea) that will lead to conflict if it continues unabated
00039021	4	0	0	a mutual or reciprocal action; interacting
00039211	4	0	0	reciprocal action and reaction
00039297	4	0	0	close interaction; 'they kept in daily contact'; 'they claimed that they had been in contact with extraterrestrial beings'
00039545	4	0	0	contact with something dangerous or undesirable; 'I had a brush with danger on my way to work'; 'he tried to avoid any brushes with the police'
00039740	4	0	0	contact that occurs when two people look directly at each other; 'a teacher should make eye contact with the students'
00039916	4	0	0	the action of fetching
00039990	4	0	0	contact established between applicants and prospective employees; 'the agency provided placement services'
00040152	4	0	0	mutual interaction; the activity of reciprocating or exchanging (especially information)
00040420	4	0	0	mutual exchange of commercial or other privileges
00040545	4	0	0	interchange between different cultures or different ways of thinking that is mutually productive and beneficial; 'the cross-fertilization of science and the creative arts'
00040804	4	0	0	social or verbal interchange (usually followed by `with')
00040962	4	0	0	(usually plural) mutual dealings or connections among persons or groups; 'international relations'
00041188	4	0	0	the action of taking part in a game or sport or other recreation
00041468	4	0	0	the act using a sword (or other weapon) vigorously and skillfully
00041614	4	0	0	work of little or no value done merely to look busy
00041740	4	0	0	the playing of a game of tenpins or duckpins etc
00041899	4	0	0	the act of acquiring something; 'I envied his talent for acquiring'; 'he's much more interested in the getting than in the giving'
00042311	4	0	0	the act of causing something to happen
00042541	4	0	0	the act of delivering a child
00042757	4	0	0	the act of departing
00043116	4	0	0	brave and heroic feats
00043195	4	0	0	the act of discovering something
00043609	4	0	0	the act or means of getting rid of something
00043902	4	0	0	(baseball) a successful stroke in an athletic contest (especially in baseball); 'he came all the way around on Williams' hit'
00044150	4	0	0	the act of implementing (providing a practical means for accomplishing something); carrying into effect
00044455	4	0	0	the act of coming (or going) out; becoming apparent
00044673	4	0	0	the act of making equal or uniform
00044900	4	0	0	the act of digging something out of the ground (especially a corpse) where it has been buried
00045114	4	0	0	(Judaism) a good deed performed out of religious duty
00045250	4	0	0	the act of propelling
00045646	4	0	0	the feat of mustering strength for a renewed effort; 'he singled to start a rally in the 9th inning'; 'he feared the rallying of their troops for a counterattack'
00045907	4	0	0	the act of regaining or saving something lost (or in danger of becoming lost)
00046177	4	0	0	the act of leaving (without permission) the place you are expected to be
00046344	4	0	0	a difficult or unusual or dangerous feat; usually done to gain attention
00046522	4	0	0	the act of putting two things together with no space between them; 'at his touch the room filled with lights'
00047018	4	0	0	a masterly or brilliant feat
00047106	4	0	0	any recognized accomplishment; 'they admired his performance under stress'; 'when Roger Maris powered four home runs in one game his performance merits awe'
00047356	4	0	0	better than expected performance (better than might have been predicted from intelligence tests)
00047550	4	0	0	poorer than expected performance (poorer than might have been predicted from intelligence tests)
00047745	4	0	0	the sum of recognized accomplishments; 'the lawyer has a good record'; 'the track record shows that he will be a good president'
00047941	4	0	0	an irreversible accomplishment
00048051	4	0	0	advancing toward a goal; 'persuading him was easy going'; 'the proposal faces tough sledding'
00048225	4	0	0	accomplishment of an objective
00048374	4	0	0	the act of arriving at a certain place; 'they awaited her arrival'
00048656	4	0	0	arrival at a new stage; 'his attainment of puberty was delayed by malnutrition'
00048828	4	0	0	arrival that has been awaited (especially of something momentous); 'the advent of the computer'
00049003	4	0	0	the act of entering; 'she made a grand entrance'
00049344	4	0	0	the act of entering some territory or domain (often in large numbers); 'the incursion of television into the American living room'
00049530	4	0	0	entrance by force or without permission or welcome
00049636	4	0	0	a sudden violent entrance; a bursting in; 'the recent irruption of bad manners'
00049789	4	0	0	the act of entering; 'she made a graceful entree into the ballroom'
00049909	4	0	0	the act of entailing property; the creation of a fee tail from a fee simple
00050037	4	0	0	the act of enrolling
00050195	4	0	0	the act of appearing in public view; 'the rookie made a brief appearance in the first period'; 'it was Bernhardt's last appearance in America'
00050484	4	0	0	an act of appearing or becoming visible unexpectedly; 'natives were amazed at the apparition of this white stranger'
00050693	4	0	0	the act of emerging
00050887	4	0	0	the act of someone appearing again; 'his reappearance as Hamlet has been long awaited'
00051077	4	0	0	return by a celebrity to some previously successful activity
00051192	4	0	0	a coming to or returning home; 'on his return from Australia we gave him a welcoming party'
00051385	4	0	0	the act of returning to the country of origin
00051525	4	0	0	the act of entering into or through something; 'the penetration of upper management by women'
00051712	4	0	0	mutual penetration; diffusion of each through the other
00051897	4	0	0	the extent to which a product is recognized and bought by customers in a particular market
00052052	4	0	0	the act of anchoring
00052146	4	0	0	the act of securing an arriving vessel with ropes
00052334	4	0	0	the act of coming to land after a voyage
00052500	4	0	0	the act of coming down to the earth (or other surface); 'the plane made a smooth landing'; 'his landing on his feet was catlike'
00052791	4	0	0	an unscheduled airplane landing that is made under circumstances (engine failure or adverse weather) not under the pilot's control
00053020	4	0	0	departing hastily
00053097	4	0	0	the act of departing politely; 'he disliked long farewells'; 'he took his leave'; 'parting is such sweet sorrow'
00053405	4	0	0	an abrupt and unannounced departure (without saying farewell)
00053525	4	0	0	the act of saying farewell
00053609	4	0	0	the act of leaving secretly or without explanation
00053806	4	0	0	a sudden disappearance from sight
00053913	4	0	0	the act of withdrawing; 'the withdrawal of French troops from Vietnam'
00054328	4	0	0	withdrawing into the background; making yourself inconspicuous
00054483	4	0	0	the act of withdrawing or going backward (especially to escape something hazardous or unpleasant)
00054652	4	0	0	withdrawal for prayer and study and meditation; 'the religious retreat is a form of vacation activity'
00054821	4	0	0	the act of evacuating; leaving a place in an orderly fashion; especially for protection
00055038	4	0	0	the evacuation of persons (usually by air transportation) to a place where they can receive medical care
00055227	4	0	0	breaking camp
00055315	4	0	0	withdrawing support or help despite allegiance or responsibility; 'his abandonment of his wife and children left them penniless'
00055633	4	0	0	the act of running away secretly (as to avoid arrest)
00055793	4	0	0	unauthorized military absence
00055932	4	0	0	ideological defection from the party line (especially from orthodox communism)
00056087	4	0	0	migration from a place (especially migration from your native country in order to settle in another)
00056311	4	0	0	migration into a place (especially migration to a country of which you are not a native in order to settle there)
00056551	4	0	0	(Judaism) immigration of Jews to Israel; 'students making aliyah'
00056688	4	0	0	(military) the act of pulling back (especially an orderly withdrawal of troops); 'the pullback is expected to be over 25,000 troops'
00056912	4	0	0	(military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat; 'the disorderly retreat of French troops'
00057162	4	0	0	(military) a temporary stop of offensive military action
00057306	4	0	0	to break off a military action with an enemy
00057486	4	0	0	the act of becoming more distant
00057657	4	0	0	the departure of a vessel from a port
00057748	4	0	0	a military action of coordinated land, sea, and air forces organized for an invasion; 'MacArthur staged a massive amphibious landing behind enemy lines'
00058002	4	0	0	the act of passengers and crew getting off of a ship or aircraft
00058247	4	0	0	debarkation from a boat or ship
00058337	4	0	0	the act of passengers and crew getting aboard a ship or aircraft
00058519	4	0	0	the act of going out
00058608	4	0	0	the act of running away with a lover (usually to get married)
00058743	4	0	0	the act of escaping physically; 'he made his escape from the mental hospital'; 'the canary escaped from its cage'; 'his flight was an indication of his guilt'
00059127	4	0	0	the act of physically escaping from something (an opponent or a pursuer or an unpleasant situation) by some adroit maneuver
00059376	4	0	0	the act of avoiding capture (especially by cunning)
00059552	4	0	0	an action aimed at evading an opponent
00059728	4	0	0	(boxing) the act of one boxer holding onto the other to avoid being hit and to rest momentarily
00059895	4	0	0	a quick evasive movement
00059989	4	0	0	an escape from jail; 'the breakout was carefully planned'
00060201	4	0	0	a rapid escape (as by criminals); 'the thieves made a clean getaway'; 'after the expose he had to take it on the lam'
00060414	4	0	0	a journey by a large group to escape from a hostile environment
00060548	4	0	0	the flight of Muhammad from Mecca to Medina in 622 which marked the beginning of the Muslim era; the Muslim calendar begins in that year
00060747	4	0	0	a hasty flight
00060817	4	0	0	secret aid to escaping slaves that was provided by abolitionists in the years before the American Civil War
00061014	4	0	0	something achieved (or escaped) by a narrow margin
00061171	4	0	0	emerging to the surface and becoming apparent
00061290	4	0	0	the act of sending off something
00061453	4	0	0	the act of shipping again (especially by transferring to another ship)
00061598	4	0	0	the act of bringing to completion or fruition
00061792	4	0	0	the completion of marriage by sexual intercourse
00061917	4	0	0	something that is made real or concrete; 'the victory was the realization of a whole year's work'
00062133	4	0	0	the moment of most intense pleasure in sexual intercourse
00062331	4	0	0	an orgasm accompanied by the sensation of ejaculation of semen
00062451	4	0	0	the act of consummating something (a desire or promise etc)
00062671	4	0	0	the fulfillment of your capacities
00062806	4	0	0	the act of achieving an aim; 'the attainment of independence'
00063014	4	0	0	an extreme attainment; the best (or worst) performance ever attested (as in a sport); 'he tied the Olympic record'; 'coffee production last year broke all previous records'; 'Chicago set the homicide record'
00063310	4	0	0	the fastest time ever recorded for a specific distance at a particular racetrack; 'the track record for the mile and a half at Belmont is 2 minutes 24 seconds held by Secretariat since 1973'
00063559	4	0	0	the best record in the whole world
00063652	4	0	0	an attainment that is successful; 'his success in the marathon was unexpected'; 'his new play was a great success'
00064018	4	0	0	succeeding with great difficulty; 'winning is not everything'
00064151	4	0	0	an unusually successful hit with widespread popularity and huge sales (especially a movie or play or recording or novel)
00064370	4	0	0	an unexpected hit; 'that movie was the sleeper of the summer'
