##SYN
	0	
00001740	0	draw air into, and expel out of, the lungs; 'I can breathe better when the air is clean'; 'The patient is respiring'
00002325	0	undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide
00002573	0	breathe easily again, as after exertion or anxiety
00002724	0	breathe with great difficulty, as when experiencing a strong emotion; 'She choked with emotion when she spoke about her deceased husband'
00002942	0	breathe excessively hard and fast; 'The mountain climber started to hyperventilate'
00003133	0	produce hyperventilation in; 'The nurses had to hyperventilate the patient'
00003316	0	suck in (air)
00003431	0	expel gas from the stomach; 'In China it is polite to burp at the table'
00003662	0	emit or cause to move with force of effort; 'force out the air'; 'force out the splinter'
00003826	0	breathe spasmodically, and make a sound; 'When you have to hiccup, drink a glass of cold water'
00004032	0	heave or utter a sigh; breathe deeply and heavily; 'She sighed sadly'
00004227	0	expel air; 'Exhale when you lift the weight'
00004492	0	keep from exhaling or expelling; 'hold your breath'
00004605	0	give out (breath or an odor); 'The chimney exhales a thick smoke'
00004819	0	exhale spasmodically, as when an irritant entered one's nose; 'Pepper makes me sneeze'
00005041	0	draw in (air); 'Inhale deeply'; 'inhale the fresh mountain air'; 'The patient has trouble inspiring'; 'The lung cancer patient cannot inspire air very well'
00005526	0	breathe noisily, as when one is exhausted; 'The runners reached the finish line, panting heavily'
00005815	0	exhale abruptly, as when one has a chest cold or congestion; 'The smoker coughs all day'
00006100	0	cough spasmodically; 'The patient with emphysema is hacking all day'
00006238	0	discharge (phlegm or sputum) from the lungs and out of the mouth
00006523	0	make a snorting sound by exhaling hard; 'The critic snorted contemptuously'
00006697	0	breathe with difficulty
00006802	0	blow hard and loudly; 'he huffed and puffed as he made his way up the mountain'
00007012	0	exhale hard; 'blow on the soup to cool it down'
00007193	0	blow or breathe hard on or into
00007328	0	utter a yawn, as from lack of oxygen or when one is tired; 'The child yawned during the long performance'
00007549	0	inhale audibly through the nose; 'the sick student was sniffling in the back row'
00007739	0	briefly shut the eyes; 'The TV announcer never seems to blink'
00008055	0	wink or blink, especially repeatedly
00008195	0	wink briefly; 'bat one's eyelids'
00008299	0	signal by winking; 'She winked at him'
00008435	0	force to go away by blinking; 'blink away tears'
00008602	0	cross one's eyes as if in strabismus; 'The children squinted so as to scare each other'
00008799	0	partly close one's eyes, as when hit by direct blinding light; 'The driver squinted as the sun hit his windshield'
00008977	0	make a face indicating disgust or dislike; 'She winced when she heard his pompous speech'
00009147	0	cast off hair, skin, horn, or feathers; 'our dog sheds every Spring'
00009492	0	peel off in scales; 'dry skin desquamates'
